sample_idx,A_matched,B_mean,B_median,B_min,A_shuffled,C
113,0.7063969,0.7221800684928894,0.7095303535461426,0.5403771996498108,0.7802912,0.8338078856468201
114,0.58963835,0.6238422989845276,0.6064186096191406,0.5035933256149292,0.66339,0.8519868850708008
115,0.65436035,0.6495333909988403,0.6365388035774231,0.43487823009490967,0.7086561,0.8225218057632446
116,0.57420206,0.7393519282341003,0.7164534330368042,0.4997074007987976,0.80805886,0.8723757266998291
117,0.90443116,0.6694346070289612,0.6207146644592285,0.487944632768631,1.0192789,0.7522592544555664
118,0.5888269,0.7633290886878967,0.7292032241821289,0.46740320324897766,0.73500526,0.9968597888946533
119,0.56371444,0.7246406078338623,0.7399718761444092,0.42121177911758423,0.5399857,0.7369491457939148
120,0.7803215,0.761189877986908,0.7298211455345154,0.5983369946479797,0.69776565,0.8536334037780762
121,0.79534566,0.6596660017967224,0.6573030948638916,0.5221582055091858,0.89749026,0.7885822057723999
122,0.605321,0.7394868731498718,0.7487635612487793,0.571844220161438,0.6561346,0.8216798305511475
123,0.5853762,0.7041024565696716,0.6573526859283447,0.440161794424057,0.5493906,0.8505606651306152
124,0.78516,0.6922194957733154,0.6668078899383545,0.495508074760437,0.8829683,0.7988981008529663
125,0.8469857,0.7233040928840637,0.7162206172943115,0.511464536190033,1.0630597,0.8345724940299988
126,0.5617699,0.692814290523529,0.667901337146759,0.4246574640274048,0.58400786,0.8600207567214966
127,0.8825231,0.707654595375061,0.699600338935852,0.5045413374900818,1.0668682,0.8306399583816528
